Timestamp (UTC),Value (in),Grade Code,Interpolation Type,Event Timestamp
8/9/2021 0:00,NaN,-2,5,8/8/2021 0:00
8/10/2021 0:00,NaN,-2,5,8/9/2021 0:00
8/11/2021 0:00,NaN,-2,5,8/10/2021 0:00
8/12/2021 0:00,NaN,-2,5,8/11/2021 0:00
8/13/2021 0:00,NaN,-2,5,8/12/2021 0:00
8/14/2021 0:00,NaN,-2,5,8/13/2021 0:00
8/15/2021 0:00,0.22,-1,5,8/14/2021 0:00
8/16/2021 0:00,0.14,-1,5,8/15/2021 0:00
8/17/2021 0:00,0.7,-1,5,8/16/2021 0:00
8/18/2021 0:00,0.12,-1,5,8/17/2021 0:00
8/19/2021 0:00,0.15,-1,5,8/18/2021 0:00
8/20/2021 0:00,0,-1,5,8/19/2021 0:00
8/21/2021 0:00,0,-1,5,8/20/2021 0:00
8/22/2021 0:00,0,-1,5,8/21/2021 0:00
8/23/2021 0:00,0.13,-1,5,8/22/2021 0:00
8/24/2021 0:00,0.08,-1,5,8/23/2021 0:00
8/25/2021 0:00,0.06,-1,5,8/24/2021 0:00
8/26/2021 0:00,0,-1,5,8/25/2021 0:00
8/27/2021 0:00,0,-1,5,8/26/2021 0:00
8/28/2021 0:00,0.35,-1,5,8/27/2021 0:00
8/29/2021 0:00,0.15,-1,5,8/28/2021 0:00
8/30/2021 0:00,0.02,-1,5,8/29/2021 0:00
8/31/2021 0:00,0.02,-1,5,8/30/2021 0:00
9/1/2021 0:00,0.24,-1,5,8/31/2021 0:00
9/2/2021 0:00,0.02,-1,5,9/1/2021 0:00
9/3/2021 0:00,0,-1,5,9/2/2021 0:00
9/4/2021 0:00,0.05,-1,5,9/3/2021 0:00
9/5/2021 0:00,0,-1,5,9/4/2021 0:00
9/6/2021 0:00,0,-1,5,9/5/2021 0:00
9/7/2021 0:00,0,-1,5,9/6/2021 0:00
9/8/2021 0:00,0.02,-1,5,9/7/2021 0:00
9/9/2021 0:00,0.22,-1,5,9/8/2021 0:00
9/10/2021 0:00,0.95,-1,5,9/9/2021 0:00
9/11/2021 0:00,0,-1,5,9/10/2021 0:00
9/12/2021 0:00,0,-1,5,9/11/2021 0:00
9/13/2021 0:00,0,-1,5,9/12/2021 0:00
9/14/2021 0:00,0,-1,5,9/13/2021 0:00
9/15/2021 0:00,0,-1,5,9/14/2021 0:00
9/16/2021 0:00,0.08,-1,5,9/15/2021 0:00
9/17/2021 0:00,0.25,-1,5,9/16/2021 0:00
9/18/2021 0:00,0,-1,5,9/17/2021 0:00
9/19/2021 0:00,0,-1,5,9/18/2021 0:00
9/20/2021 0:00,0.32,-1,5,9/19/2021 0:00
9/21/2021 0:00,0,-1,5,9/20/2021 0:00
9/22/2021 0:00,0,-1,5,9/21/2021 0:00
9/23/2021 0:00,0,-1,5,9/22/2021 0:00
9/24/2021 0:00,0,-1,5,9/23/2021 0:00
9/25/2021 0:00,0,-1,5,9/24/2021 0:00
9/26/2021 0:00,0,-1,5,9/25/2021 0:00
9/27/2021 0:00,0,-1,5,9/26/2021 0:00
9/28/2021 0:00,0,-1,5,9/27/2021 0:00
9/29/2021 0:00,0,-1,5,9/28/2021 0:00
9/30/2021 0:00,0,-1,5,9/29/2021 0:00
10/1/2021 0:00,0,-1,5,9/30/2021 0:00
10/2/2021 0:00,0,-1,5,10/1/2021 0:00
10/3/2021 0:00,0,-1,5,10/2/2021 0:00
10/4/2021 0:00,0,-1,5,10/3/2021 0:00
10/5/2021 0:00,0.29,-1,5,10/4/2021 0:00
10/6/2021 0:00,0.17,-1,5,10/5/2021 0:00
10/7/2021 0:00,0.58,-1,5,10/6/2021 0:00
10/8/2021 0:00,0.01,-1,5,10/7/2021 0:00
10/9/2021 0:00,0.04,-1,5,10/8/2021 0:00
10/10/2021 0:00,0,-1,5,10/9/2021 0:00
10/11/2021 0:00,0,-1,5,10/10/2021 0:00
10/12/2021 0:00,0,-1,5,10/11/2021 0:00
10/13/2021 0:00,0,-1,5,10/12/2021 0:00
10/14/2021 0:00,0,-1,5,10/13/2021 0:00
10/15/2021 0:00,0,-1,5,10/14/2021 0:00
10/16/2021 0:00,0,-1,5,10/15/2021 0:00
10/17/2021 0:00,0,-1,5,10/16/2021 0:00
10/18/2021 0:00,0,-1,5,10/17/2021 0:00
10/19/2021 0:00,0,-1,5,10/18/2021 0:00
10/20/2021 0:00,0,-1,5,10/19/2021 0:00
10/21/2021 0:00,0,-1,5,10/20/2021 0:00
10/22/2021 0:00,0,-1,5,10/21/2021 0:00
10/23/2021 0:00,0,-1,5,10/22/2021 0:00
10/24/2021 0:00,0,-1,5,10/23/2021 0:00
10/25/2021 0:00,0,-1,5,10/24/2021 0:00
10/26/2021 0:00,0.17,-1,5,10/25/2021 0:00
10/27/2021 0:00,0,-1,5,10/26/2021 0:00
10/28/2021 0:00,0,-1,5,10/27/2021 0:00
10/29/2021 0:00,0.36,-1,5,10/28/2021 0:00
10/30/2021 0:00,0,-1,5,10/29/2021 0:00
10/31/2021 0:00,0,-1,5,10/30/2021 0:00
11/1/2021 0:00,0,-1,5,10/31/2021 0:00
11/2/2021 0:00,0,-1,5,11/1/2021 0:00
11/3/2021 0:00,0,0,5,11/2/2021 0:00
11/4/2021 0:00,0,-1,5,11/3/2021 0:00
11/5/2021 0:00,0,-1,5,11/4/2021 0:00
11/6/2021 0:00,0.09,-1,5,11/5/2021 0:00
11/7/2021 0:00,0,-1,5,11/6/2021 0:00
11/8/2021 0:00,0,-1,5,11/7/2021 0:00
11/9/2021 0:00,0,-1,5,11/8/2021 0:00
11/10/2021 0:00,0,-1,5,11/9/2021 0:00
11/11/2021 0:00,0,-1,5,11/10/2021 0:00
11/12/2021 0:00,0,-1,5,11/11/2021 0:00
11/13/2021 0:00,0,-1,5,11/12/2021 0:00
11/14/2021 0:00,0,-1,5,11/13/2021 0:00
11/15/2021 0:00,0,-1,5,11/14/2021 0:00
11/16/2021 0:00,0,-1,5,11/15/2021 0:00
11/17/2021 0:00,0,-1,5,11/16/2021 0:00
11/18/2021 0:00,0,-1,5,11/17/2021 0:00
11/19/2021 0:00,0,-1,5,11/18/2021 0:00
11/20/2021 0:00,0,-1,5,11/19/2021 0:00
11/21/2021 0:00,0,-1,5,11/20/2021 0:00
11/22/2021 0:00,0,-1,5,11/21/2021 0:00
11/23/2021 0:00,0,-1,5,11/22/2021 0:00
11/24/2021 0:00,0,-1,5,11/23/2021 0:00
11/25/2021 0:00,0,-1,5,11/24/2021 0:00
11/26/2021 0:00,0,-1,5,11/25/2021 0:00
11/27/2021 0:00,0,0,5,11/26/2021 0:00
11/28/2021 0:00,0,-1,5,11/27/2021 0:00
11/29/2021 0:00,0,-1,5,11/28/2021 0:00
